Rank,Player,Nation,Position,Squad,Competition,Age,Year_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A
936,Kevin Gameiro,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,36,1987,27,15,1346,15,4,2,6
937,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,33,1989,25,24,1884,20.9,4,0,4
938,Ignatius Ganago,cm CMR,"FW,MF",Nantes,fr Ligue 1,24,1999,6,2,184,2,0,0,0
939,Aleix Garcia,es ESP,MF,Girona,es La Liga,26,1997,37,36,3199,35.5,3,6,9
940,Alvaro Garcia,es ESP,"FW,MF",Rayo Vallecano,es La Liga,30,1992,32,30,2475,27.5,6,1,7
941,Dani Garcia,es ESP,MF,Athletic Club,es La Liga,33,1990,17,7,745,8.3,1,0,1
942,David Garcia,es ESP,DF,Osasuna,es La Liga,29,1994,27,27,2334,25.9,0,1,1
943,Eric Garcia,es ESP,DF,Barcelona,es La Liga,22,2001,2,0,57,0.6,0,0,0
944,Eric Garcia,es ESP,DF,Girona,es La Liga,22,2001,30,30,2637,29.3,5,0,5
945,Fran Garcia,es ESP,DF,Real Madrid,es La Liga,23,1999,25,15,1398,15.5,1,5,6
946,Francisco Jesus Crespo Garcia,es ESP,FW,Las Palmas,es La Liga,27,1996,17,6,504,5.6,2,0,2
947,Gonzalo Garcia,es ESP,"FW,MF",Real Madrid,es La Liga,19,2004,2,0,19,0.2,0,0,0
948,Jastin Garcia,es ESP,FW,Girona,es La Liga,19,2004,3,0,32,0.4,0,0,0
949,Raul Garcia,es ESP,"FW,MF",Athletic Club,es La Liga,37,1986,20,1,420,4.7,1,0,1
950,Ruben Garcia,es ESP,"FW,MF",Osasuna,es La Liga,30,1993,30,19,1547,17.2,3,2,5
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
952,Ulisses Garcia,ch SUI,DF,Marseille,fr Ligue 1,27,1996,13,10,906,10.1,0,0,0
953,Unai Garcia,es ESP,DF,Osasuna,es La Liga,31,1992,9,6,560,6.2,1,0,1
954,Alejandro Garnacho,ar ARG,FW,Manchester Utd,eng Premier League,19,2004,36,30,2565,28.5,7,4,11
955,James Garner,eng ENG,MF,Everton,eng Premier League,22,2001,37,34,3004,33.4,1,2,3
956,Luca Garritano,it ITA,"MF,DF",Frosinone,it Serie A,29,1994,12,5,485,5.4,0,0,0
957,Johan Gastien,fr FRA,MF,Clermont Foot,fr Ligue 1,35,1988,28,28,2260,25.1,0,0,0
958,Federico Gatti,it ITA,DF,Juventus,it Serie A,25,1998,32,30,2637,29.3,4,0,4
959,Federico Gattoni,ar ARG,"DF,FW",Sevilla,es La Liga,24,1999,2,0,10,0.1,0,0,0
