Rank,Player,Nation,Position,Squad,Competition,Age,Year_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
676,Sepp van den Berg,nl NED,DF,Mainz 05,de Bundesliga,21,2001,33,31,2839,31.5,3,0,3
677,Leander Dendoncker,be BEL,MF,Aston Villa,eng Premier League,28,1995,8,1,119,1.3,1,0,1
678,Leander Dendoncker,be BEL,MF,Napoli,it Serie A,28,1995,3,0,24,0.3,0,0,0
679,Remy Descamps,fr FRA,GK,Nantes,fr Ligue 1,27,1996,6,6,540,6,0,0,0
680,Mikkel Desler,dk DEN,DF,Toulouse,fr Ligue 1,28,1995,24,19,1544,17.2,0,1,1
681,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,29,1994,33,33,2970,33,0,0,0
682,Mattia Destro,it ITA,"FW,MF",Empoli,it Serie A,32,1991,15,3,366,4.1,0,0,0
683,Samuele Di Benedetto,de GER,MF,Stuttgart,de Bundesliga,18,2005,1,0,7,0.1,0,0,0
684,Federico Di Francesco,it ITA,"FW,MF",Lecce,it Serie A,29,1994,2,0,15,0.2,1,0,1
685,Raffaele Di Gennaro,it ITA,GK,Inter,it Serie A,29,1993,1,0,23,0.3,0,0,0
686,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,26,1997,33,33,2872,31.9,0,0,0
687,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,29,1993,36,36,3234,35.9,1,6,7
688,Alessandro Di Pardo,it ITA,"DF,MF",Cagliari,it Serie A,24,1999,15,2,359,4,0,0,0
689,Boulaye Dia,sn SEN,"FW,MF",Salernitana,it Serie A,26,1996,17,12,1143,12.7,4,0,4
690,Moussa Diaby,fr FRA,"FW,MF",Aston Villa,eng Premier League,24,1999,38,25,2174,24.2,6,8,14
691,Lamine Diack,sn SEN,MF,Nantes,fr Ligue 1,22,2000,1,0,1,0,0,0,0
692,Mouctar Diakhaby,gn GUI,"DF,MF",Valencia,es La Liga,26,1996,14,12,1073,11.9,1,0,1
693,Mamadou Diakhon,fr FRA,"FW,MF",Reims,fr Ligue 1,17,2005,11,1,209,2.3,0,0,0
694,Bafode Diakite,fr FRA,DF,Lille,fr Ligue 1,22,2001,21,19,1696,18.8,5,2,7
695,Ibrahim Diakite,gn GUI,DF,Reims,fr Ligue 1,19,2003,5,1,109,1.2,0,0,0
696,Moussa Diakite,ml MLI,MF,Cadiz,es La Liga,19,2003,1,0,1,0,0,0,0
697,Oumar Diakite,ci CIV,FW,Reims,fr Ligue 1,19,2003,28,18,1585,17.6,5,1,6
698,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,eng Premier League,21,2002,9,3,390,4.3,1,1,2
699,Amadou Diallo,eng ENG,MF,Newcastle Utd,eng Premier League,20,2003,1,0,1,0,0,0,0
700,Assane Diao,es ESP,FW,Betis,es La Liga,17,2005,18,13,1048,11.6,2,0,2
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
701,Habib Diarra,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,19,2004,31,28,2305,25.6,3,1,4
702,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,22,2000,22,15,1397,15.5,1,2,3
703,Ruben Dias,pt POR,DF,Manchester City,eng Premier League,26,1997,30,28,2559,28.4,0,0,0
704,Krepin Diatta,sn SEN,"DF,FW",Monaco,fr Ligue 1,24,1999,26,12,1206,13.4,0,2,2
705,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,30,1993,30,30,2700,30,0,0,0
706,Mahamadou Diawara,fr FRA,MF,Lyon,fr Ligue 1,18,2005,11,4,358,4,0,0,0
707,Brahim Diaz,ma MAR,"FW,MF",Real Madrid,es La Liga,23,1999,31,18,1545,17.2,8,6,14
708,Luis Diaz,co COL,FW,Liverpool,eng Premier League,26,1997,37,32,2629,29.2,8,5,13
709,Victor Diaz,es ESP,"DF,MF",Granada,es La Liga,35,1988,4,2,162,1.8,0,0,0
710,Famara Diedhiou,sn SEN,"FW,MF",Granada,es La Liga,30,1992,8,0,89,1,0,1,1
711,Justin Diehl,de GER,"FW,MF",Koln,de Bundesliga,18,2004,7,1,168,1.9,0,0,0
712,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,23,2000,16,5,549,6.1,4,1,5
713,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,29,1994,4,1,201,2.2,0,0,0
714,Eric Dier,eng ENG,DF,Bayern Munich,de Bundesliga,29,1994,15,13,1166,13,0,0,0
715,Guillaume Dietsch,fr FRA,GK,Metz,fr Ligue 1,22,2001,1,0,73,0.8,0,0,0
716,Florian Dietz,de GER,"FW,MF",Koln,de Bundesliga,24,1998,5,0,70,0.8,0,0,0
717,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,30,1993,33,27,2410,26.8,1,3,4
718,Federico Dimarco,it ITA,DF,Inter,it Serie A,25,1997,30,29,2077,23.1,5,6,11
719,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,29,1993,37,37,3330,37,0,0,0
720,Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,de Bundesliga,22,2000,31,25,1956,21.7,5,3,8
721,Eren Dinkci,de GER,"FW,MF",Heidenheim,de Bundesliga,21,2001,33,33,2650,29.4,10,5,15
722,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,22,2001,10,10,889,9.9,0,0,0
723,Edan Diop,fr FRA,"MF,DF",Monaco,fr Ligue 1,18,2004,10,0,163,1.8,0,0,0
724,Issa Diop,fr FRA,DF,Fulham,eng Premier League,26,1997,18,16,1424,15.8,0,0,0
725,Sofiane Diop,fr FRA,FW,Nice,fr Ligue 1,23,2000,10,6,499,5.5,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
726,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,20,2003,25,16,1314,14.6,1,0,1
727,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,23,1999,34,34,3060,34,0,0,0
728,Axel Disasi,fr FRA,DF,Chelsea,eng Premier League,25,1998,31,29,2579,28.7,2,0,2
729,Tiago Djalo,pt POR,DF,Juventus,it Serie A,23,2000,1,0,17,0.2,0,0,0
730,Chaim El Djebali,tn TUN,MF,Lyon,fr Ligue 1,19,2004,1,0,12,0.1,0,0,0
731,Djene,tg TOG,"DF,MF",Getafe,es La Liga,31,1991,33,30,2484,27.6,0,0,0
732,Koffi Djidji,ci CIV,DF,Torino,it Serie A,30,1992,13,8,759,8.4,0,0,0
733,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,30,1993,37,32,2832,31.5,0,1,1
734,Marko Dmitrovic,rs SRB,GK,Sevilla,es La Liga,31,1992,13,13,1170,13,0,0,0
735,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,17,2005,1,0,14,0.2,0,0,0
736,Ritsu Doan,jp JPN,"DF,MF",Freiburg,de Bundesliga,25,1998,30,26,2246,25,7,2,9
737,Lewis Dobbin,eng ENG,MF,Everton,eng Premier League,20,2003,12,1,232,2.6,1,0,1
738,Dodo,br BRA,DF,Fiorentina,it Serie A,24,1998,9,7,523,5.8,0,0,0
739,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,25,1998,24,24,2160,24,2,0,2
740,Matt Doherty,ie IRL,"DF,MF",Wolves,eng Premier League,31,1992,30,9,1150,12.8,1,0,1
741,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,21,2002,12,11,830,9.2,0,0,0
742,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,21,2002,16,15,1343,14.9,0,2,2
743,Jeremy Doku,be BEL,"FW,MF",Manchester City,eng Premier League,21,2002,29,18,1595,17.7,3,8,11
744,Jeremy Doku,be BEL,FW,Rennes,fr Ligue 1,21,2002,2,1,111,1.2,1,0,1
745,Jaume Domenech,es ESP,GK,Valencia,es La Liga,32,1990,2,1,79,0.9,0,0,0
746,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,22,2001,22,18,1584,17.6,0,0,0
747,Mario Dominguez,es ESP,FW,Valencia,es La Liga,19,2004,3,0,25,0.3,0,0,0
748,Nicolas Dominguez,ar ARG,"MF,FW",Nott'ham Forest,eng Premier League,25,1998,26,19,1495,16.6,2,2,4
749,Nicolas Dominguez,ar ARG,MF,Bologna,it Serie A,25,1998,2,1,102,1.1,0,0,0
750,Giulio Donati,it ITA,DF,Monza,it Serie A,33,1990,4,0,36,0.4,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
751,Jamie Donley,eng ENG,FW,Tottenham,eng Premier League,18,2005,3,0,3,0,0,0,0
752,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,24,1999,25,25,2169,24.1,0,0,0
753,Patrick Dorgu,dk DEN,"DF,MF",Lecce,it Serie A,18,2004,32,17,1564,17.4,2,0,2
754,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,25,1998,21,16,1386,15.4,0,0,0
755,Alberto Dossena,it ITA,DF,Cagliari,it Serie A,24,1998,35,33,2977,33.1,2,4,6
756,Carlos Dotor,es ESP,MF,Celta Vigo,es La Liga,22,2001,17,7,708,7.9,0,0,0
757,Abdoulaye Doucoure,ml MLI,"FW,MF",Everton,eng Premier League,30,1993,32,32,2629,29.2,7,1,8
758,Cheick Doucoure,ml MLI,MF,Crystal Palace,eng Premier League,23,2000,11,11,919,10.2,0,0,0
759,Sirine Doucoure,ml MLI,FW,Lorient,fr Ligue 1,21,2002,11,5,423,4.7,1,3,4
760,Desire Doue,fr FRA,"MF,FW",Rennes,fr Ligue 1,18,2005,31,17,1626,18.1,4,4,8
761,Guela Doue,ci CIV,DF,Rennes,fr Ligue 1,20,2002,24,13,1234,13.7,0,2,2
762,Alfie Doughty,eng ENG,DF,Luton Town,eng Premier League,23,1999,37,34,2925,32.5,2,8,10
763,Douglas,br BRA,MF,Nantes,fr Ligue 1,26,1997,25,22,1772,19.7,0,0,0
764,Ismael Doukoure,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,20,2003,22,19,1656,18.4,0,0,0
765,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,20,2003,25,7,879,9.8,6,5,11
766,Anastasios Douvikas,gr GRE,FW,Celta Vigo,es La Liga,23,1999,32,7,905,10.1,7,1,8
767,Artem Dovbyk,ua UKR,FW,Girona,es La Liga,26,1997,36,32,2587,28.7,24,8,32
768,Nikola Dovedan,at AUT,"MF,FW",Heidenheim,de Bundesliga,29,1994,21,5,656,7.3,3,1,4
769,Damion Downs,de GER,"FW,MF",Koln,de Bundesliga,19,2004,10,0,181,2,2,0,2
770,Tommy Doyle,eng ENG,MF,Wolves,eng Premier League,21,2001,26,11,1222,13.6,0,0,0
771,Radu Dragusin,ro ROU,DF,Tottenham,eng Premier League,21,2002,9,4,429,4.8,0,0,0
772,Radu Dragusin,ro ROU,DF,Genoa,it Serie A,21,2002,19,19,1710,19,2,1,3
773,Dion Drena Beljo,hr CRO,"FW,MF",Augsburg,de Bundesliga,21,2002,26,3,581,6.5,2,0,2
774,Tim Drexler,de GER,DF,Hoffenheim,de Bundesliga,18,2005,8,6,573,6.4,0,0,0
775,Domingos Duarte,pt POR,DF,Getafe,es La Liga,28,1995,15,11,907,10.1,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
776,Ruben Duarte,es ESP,DF,Alaves,es La Liga,27,1995,28,21,1878,20.9,2,1,3
777,Martin Dubravka,sk SVK,GK,Newcastle Utd,eng Premier League,34,1989,23,22,1985,22.1,0,0,0
778,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,29,1994,33,32,2696,30,12,9,21
779,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,28,1994,32,29,2456,27.3,1,4,5
780,Denzel Dumfries,nl NED,DF,Inter,it Serie A,27,1996,31,19,1639,18.2,4,4,8
781,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,31,1991,5,0,20,0.2,0,0,0
782,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,30,1993,30,24,1888,21,2,5,7
783,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,31,1991,33,33,2869,31.9,3,1,4
784,Jhon Duran,co COL,"FW,MF",Aston Villa,eng Premier League,19,2003,23,3,475,5.3,5,0,5
785,Julien Duranville,be BEL,"FW,MF",Dortmund,de Bundesliga,17,2006,2,0,12,0.1,0,0,0
786,Hugo Duro,es ESP,FW,Valencia,es La Liga,23,1999,37,35,2976,33.1,13,2,15
787,Jean-Kevin Duverne,ht HAI,DF,Nantes,fr Ligue 1,26,1997,19,15,1348,15,0,0,0
788,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,29,1993,28,25,1959,21.8,13,9,22
789,Aron Dnnum,no NOR,"FW,MF",Toulouse,fr Ligue 1,25,1998,27,19,1595,17.7,0,1,1
790,George Earthy,eng ENG,FW,West Ham,eng Premier League,18,2004,3,0,34,0.4,1,0,1
791,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,18,2004,4,0,20,0.2,0,0,0
792,Festy Ebosele,ie IRL,DF,Udinese,it Serie A,20,2002,31,20,1700,18.9,0,0,0
793,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,24,1999,1,0,8,0.1,0,0,0
794,Tyronne Ebuehi,ng NGA,DF,Empoli,it Serie A,27,1995,15,11,1099,12.2,0,1,1
795,Ederson,br BRA,GK,Manchester City,eng Premier League,29,1993,33,33,2785,30.9,0,0,0
796,Ederson,br BRA,MF,Atalanta,it Serie A,24,1999,36,32,2869,31.9,6,1,7
797,Odsonne Edouard,fr FRA,"FW,MF",Crystal Palace,eng Premier League,25,1998,30,17,1555,17.3,7,0,7
798,John Egan,ie IRL,DF,Sheffield Utd,eng Premier League,30,1992,6,6,482,5.4,0,0,0
799,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,26,1996,33,33,2914,32.4,1,2,3
800,Lilian Egloff,de GER,"MF,DF",Stuttgart,de Bundesliga,20,2002,5,1,106,1.2,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
801,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,28,1995,23,11,955,10.6,0,1,1
802,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,24,1998,8,5,437,4.9,0,0,0
803,Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,21,2002,1,0,9,0.1,0,0,0
804,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,de Bundesliga,21,2002,14,7,716,8,4,2,6
805,Emmanuel Ekong,se SWE,FW,Empoli,it Serie A,21,2002,1,0,5,0.1,0,0,0
806,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,29,1994,29,10,1131,12.6,4,1,5
807,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,eng Premier League,21,2002,36,25,2433,27,5,9,14
808,Simon Elisor,fr FRA,FW,Metz,fr Ligue 1,24,1999,14,9,767,8.5,1,0,1
809,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,20,2003,34,11,1352,15,3,6,9
810,Elif Elmas,mk MKD,"FW,MF",Napoli,it Serie A,23,1999,11,4,339,3.8,2,0,2
811,Elif Elmas,mk MKD,"MF,FW",RB Leipzig,de Bundesliga,23,1999,14,2,266,3,0,0,0
812,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,31,1992,3,0,28,0.3,0,0,0
813,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,29,1994,15,7,812,9,0,1,1
814,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,26,1996,30,28,2482,27.6,2,1,3
815,Adri Embarba,es ESP,"FW,MF",Almeria,es La Liga,31,1992,36,29,2476,27.5,3,2,5
816,Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,26,1997,5,2,182,2,1,0,1
817,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,20,2003,28,23,2078,23.1,8,1,9
818,Emerson,br BRA,DF,Tottenham,eng Premier League,24,1999,22,11,1161,12.9,1,0,1
819,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,26,1997,33,28,2570,28.6,16,2,18
820,Julio Enciso,py PAR,"MF,FW",Brighton,eng Premier League,19,2004,12,5,475,5.3,0,2,2
821,Wataru Endo,jp JPN,MF,Liverpool,eng Premier League,30,1993,29,20,1722,19.1,1,0,1
822,Arne Engels,be BEL,"MF,DF",Augsburg,de Bundesliga,19,2003,32,13,1405,15.6,3,2,5
823,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,31,1992,22,12,1141,12.7,1,2,3
824,Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,25,1998,32,31,2618,29.1,1,0,1
825,Gonzalo Escalante,ar ARG,MF,Cadiz,es La Liga,30,1993,25,18,1697,18.9,1,2,3
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
826,Aaron Escandell,es ESP,GK,Las Palmas,es La Liga,27,1995,2,1,153,1.7,0,0,0
827,Alfonso Espino,uy URU,DF,Rayo Vallecano,es La Liga,31,1992,31,29,2507,27.9,0,1,1
828,Bernardo Espinosa,co COL,DF,Girona,es La Liga,34,1989,2,0,2,0,0,0,0
829,Maxime Esteve,fr FRA,DF,Burnley,eng Premier League,21,2002,16,15,1309,14.5,0,0,0
830,Maxime Esteve,fr FRA,DF,Montpellier,fr Ligue 1,21,2002,12,12,995,11.1,1,1,2
831,Oscar Estupinan,co COL,FW,Metz,fr Ligue 1,26,1996,6,4,260,2.9,0,0,0
832,Pervis Estupinan,ec ECU,DF,Brighton,eng Premier League,25,1998,19,15,1243,13.8,2,3,5
833,Karl Etta,cm CMR,FW,Cadiz,es La Liga,19,2004,1,0,21,0.2,0,0,0
834,Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,35,1988,23,15,1392,15.5,0,1,1
835,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,25,1998,27,24,2055,22.8,11,4,15
836,Abde Ezzalzouli,ma MAR,"FW,MF",Barcelona,es La Liga,21,2001,2,0,68,0.8,0,0,0
837,Abde Ezzalzouli,ma MAR,FW,Betis,es La Liga,21,2001,26,6,865,9.6,1,0,1
838,Giovanni Fabbian,it ITA,"MF,FW",Bologna,it Serie A,20,2003,27,11,1057,11.7,5,2,7
839,ukasz Fabianski,pl POL,GK,West Ham,eng Premier League,38,1985,10,7,721,8,0,0,0
840,Nicolo Fagioli,it ITA,MF,Juventus,it Serie A,22,2001,8,4,437,4.9,0,2,2
841,Romain Faivre,fr FRA,"MF,FW",Bournemouth,eng Premier League,25,1998,5,0,41,0.5,0,0,0
842,Romain Faivre,fr FRA,"MF,FW",Lorient,fr Ligue 1,25,1998,17,16,1453,16.1,5,1,6
843,Ilhan Fakili,fr FRA,"MF,FW",Clermont Foot,fr Ligue 1,17,2006,3,1,94,1,0,0,0
844,Radamel Falcao,co COL,"FW,DF",Rayo Vallecano,es La Liga,37,1986,22,2,407,4.5,1,0,1
845,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,28,1995,38,38,3420,38,0,0,0
846,Fali,es ESP,DF,Cadiz,es La Liga,29,1993,30,30,2547,28.3,0,0,0
847,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,31,1991,11,7,602,6.7,0,1,1
848,Davide Faraoni,it ITA,DF,Fiorentina,it Serie A,31,1991,8,4,392,4.4,0,1,1
849,Ansu Fati,es ESP,"MF,FW",Brighton,eng Premier League,20,2002,19,3,521,5.8,2,0,2
850,Ansu Fati,es ESP,"MF,FW",Barcelona,es La Liga,20,2002,3,0,50,0.6,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
851,Khalil Fayad,fr FRA,"FW,MF",Montpellier,fr Ligue 1,19,2004,23,11,1025,11.4,3,0,3
852,Federico Fazio,ar ARG,DF,Salernitana,it Serie A,36,1987,17,15,1355,15.1,1,0,1
853,Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,20,2003,31,14,1232,13.7,1,1,2
854,Peter Federico,do DOM,"MF,FW",Valencia,es La Liga,21,2002,15,5,649,7.2,0,0,0
855,Nabil Fekir,fr FRA,"MF,FW",Betis,es La Liga,30,1993,19,10,1049,11.7,1,2,3
856,Felipe,br BRA,DF,Nott'ham Forest,eng Premier League,34,1989,7,4,375,4.2,0,0,0
857,Luiz Felipe,it ITA,DF,Betis,es La Liga,26,1997,4,4,360,4,0,0,0
858,Joao Felix,pt POR,FW,Barcelona,es La Liga,23,1999,30,18,1540,17.1,7,3,10
859,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,25,1997,33,33,2921,32.5,2,0,2
860,Kiko Femenia,es ESP,DF,Villarreal,es La Liga,32,1991,23,16,1583,17.6,0,0,0
861,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,18,2004,27,15,1367,15.2,6,0,6
862,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,23,1999,31,31,2712,30.1,6,3,9
863,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,eng Premier League,28,1994,35,35,3118,34.6,10,8,18
864,Edimilson Fernandes,ch SUI,DF,Mainz 05,de Bundesliga,27,1996,21,13,1290,14.3,0,2,2
865,Aitor Fernandez,es ESP,GK,Osasuna,es La Liga,32,1991,7,6,551,6.1,0,0,0
866,Alex Fernandez,es ESP,MF,Cadiz,es La Liga,30,1992,26,14,1285,14.3,0,1,1
867,Carlos Fernandez,es ESP,FW,Real Sociedad,es La Liga,27,1996,10,5,408,4.5,2,1,3
868,Enzo Fernandez,ar ARG,MF,Chelsea,eng Premier League,22,2001,28,26,2209,24.5,3,2,5
869,Raul Fernandez,es ESP,GK,Granada,es La Liga,35,1988,4,4,280,3.1,0,0,0
870,Valery Fernandez,es ESP,"MF,FW",Girona,es La Liga,23,1999,27,2,506,5.6,2,0,2
871,Fernando,es ESP,GK,Almeria,es La Liga,33,1990,4,4,360,4,0,0,0
872,Fernando,br BRA,MF,Sevilla,es La Liga,36,1987,8,5,459,5.1,0,0,0
873,Ichem Ferrah,fr FRA,FW,Lille,fr Ligue 1,17,2005,1,0,3,0,0,0,0
874,Andrea Ferraris,it ITA,MF,Monza,it Serie A,20,2003,1,0,10,0.1,0,0,0
875,Andre Ferreira,pt POR,GK,Granada,es La Liga,27,1996,15,14,1340,14.9,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
876,Joao Ferreira,pt POR,DF,Udinese,it Serie A,22,2001,35,18,1822,20.2,0,1,1
877,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,31,1992,30,23,2031,22.6,1,1,2
878,Nacho Ferri,es ESP,"FW,MF",Eint Frankfurt,de Bundesliga,18,2004,8,0,74,0.8,1,0,1
879,Rachad Fettal,ma MAR,FW,Almeria,es La Liga,18,2005,1,0,17,0.2,0,0,0
880,Seydou Fini,it ITA,"DF,FW",Genoa,it Serie A,17,2006,3,0,35,0.4,0,0,0
881,Max Finkgrafe,de GER,"DF,FW",Koln,de Bundesliga,19,2004,24,18,1756,19.5,1,0,1
882,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,33,1990,4,4,360,4,0,0,0
883,Kilian Fischer,de GER,"DF,MF",Wolfsburg,de Bundesliga,22,2000,6,4,291,3.2,0,0,0
884,John Fleck,sct SCO,"MF,DF",Sheffield Utd,eng Premier League,31,1991,4,1,92,1,0,0,0
885,Mark Flekken,nl NED,GK,Brentford,eng Premier League,30,1993,37,37,3285,36.5,0,1,1
886,Alessandro Florenzi,it ITA,DF,Milan,it Serie A,32,1991,31,19,1732,19.2,1,4,5
887,Phil Foden,eng ENG,"FW,MF",Manchester City,eng Premier League,23,2000,35,33,2857,31.7,19,8,27
888,Wes Foderingham,eng ENG,GK,Sheffield Utd,eng Premier League,32,1991,30,29,2649,29.4,0,0,0
889,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,18,2005,17,4,559,6.2,3,0,3
890,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,24,1999,32,31,2697,30,4,4,8
891,Jonas Fohrenbach,de GER,DF,Heidenheim,de Bundesliga,27,1996,33,32,2788,31,0,0,0
892,Thomas Foket,be BEL,DF,Reims,fr Ligue 1,28,1994,27,22,1833,20.4,0,1,1
893,Michael Folorunsho,it ITA,"MF,FW",Hellas Verona,it Serie A,25,1998,34,33,2781,30.9,5,1,6
894,Tiago Fonseca Morais,pt POR,FW,Lille,fr Ligue 1,19,2003,3,0,46,0.5,0,0,0
895,Pablo Fornals,es ESP,"MF,FW",West Ham,eng Premier League,27,1996,15,4,426,4.7,0,0,0
896,Pablo Fornals,es ESP,"FW,MF",Betis,es La Liga,27,1996,15,14,1148,12.8,3,2,5
897,Emil Forsberg,se SWE,"MF,FW",RB Leipzig,de Bundesliga,31,1991,14,5,464,5.2,2,1,3
898,Omari Forson,eng ENG,FW,Manchester Utd,eng Premier League,19,2004,4,1,70,0.8,0,1,1
899,Philipp Forster,de GER,"MF,FW",Bochum,de Bundesliga,28,1995,13,3,385,4.3,0,0,0
900,Hector Fort,es ESP,DF,Barcelona,es La Liga,16,2006,7,4,318,3.5,0,2,2
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
901,Lyle Foster,za RSA,"FW,MF",Burnley,eng Premier League,22,2000,24,22,1899,21.1,5,3,8
902,Dimitri Foulquier,fr FRA,"DF,MF",Valencia,es La Liga,30,1993,33,19,1842,20.5,0,0,0
903,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,25,1998,12,12,1062,11.8,1,1,2
904,Matheus Franca,br BRA,"MF,FW",Crystal Palace,eng Premier League,19,2004,10,1,232,2.6,0,1,1
905,Bartol Franjic,hr CRO,MF,Darmstadt 98,de Bundesliga,23,2000,20,14,1229,13.7,0,1,1
906,Przemysaw Frankowski,pl POL,DF,Lens,fr Ligue 1,28,1995,30,24,2192,24.4,3,2,5
907,Nathan Fraser,ie IRL,FW,Wolves,eng Premier League,18,2005,7,1,186,2.1,0,0,0
908,Davide Frattesi,it ITA,MF,Inter,it Serie A,23,1999,32,6,955,10.6,6,3,9
909,Jean Frederic N'Guessan,ci CIV,"MF,FW",Metz,fr Ligue 1,20,2003,6,1,110,1.2,0,0,0
910,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,22,2001,37,36,3145,34.9,2,5,7
911,Remo Freuler,ch SUI,MF,Bologna,it Serie A,31,1992,32,30,2624,29.2,1,1,2
912,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,25,1998,25,25,2197,24.4,1,0,1
913,Marvin Friedrich,de GER,DF,Gladbach,de Bundesliga,27,1995,24,17,1566,17.4,0,0,0
914,Jeremie Frimpong,nl NED,DF,Leverkusen,de Bundesliga,22,2000,31,27,2251,25,9,7,16
915,Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,es La Liga,26,1997,36,14,1549,17.2,2,0,2
916,Chris Fuhrich,de GER,"FW,MF",Stuttgart,de Bundesliga,25,1998,34,33,2567,28.5,8,7,15
917,Shio Fukuda,jp JPN,"FW,MF",Gladbach,de Bundesliga,19,2004,5,0,36,0.4,0,0,0
